Name;Mass;num-amide;num-OC;num-NC;#theo;#exper;TopID;Derep+ scr;Derep+ rank;Derep-g scr;Derep-g rank;Derep scr;Derep rank;#matches;MF1;#isomers;dnp-class;SMILES1;MF2;SMILES2
NCGC00380486-01!7-[(2S_3R_4S_5S_6R)-4_5-dihydroxy-6-(hydroxymethyl)-3-[(2S_3R_4S_5S_6R)-3_4_5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-9-hydroxy-6-(4-hydroxyphenyl)-[1_3]dioxolo[4_5-g]chromen-8-one_M+H;638.148;1;23;0;16;38;3_4'_5-Trihydroxy-3'_7-dimethoxyflavone_3-O-[4R-Carboxy-3-hydroxy-3-methylbutanoyl-(Šæê3)-Ô_-D-glucopyranoside];5;6;3;4;-1;852;852;C28H30O17;11;Flavonoids;OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC3=C(OC4=CC5=C(OCO5)C(O)=C4C3=O)C6=CC=C(O)C=C6)[C@H](O)[C@@H](O)[C@@H]1O;C29H32O16;[H]OC(=O)C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C1([H])OC([H])(OC2=C(OC3=C([H])C(OC([H])([H])[H])=C([H])C(O[H])=C3C2=O)C2=C([H])C(OC([H])([H])[H])=C(O[H])C([H])=C2[H])C([H])(O[H])C([H])(O[H])C1([H])O[H]
NCGC00380483-01!2-[4_5-dihydroxy-2-(hydroxymethyl)-10-oxo-9-[3_4_5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]anthracen-9-yl]-1_8_10-trihydroxy-6-(hydroxymethyl)-10-[3_4_5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]anthracen-9-one_M+H;850.232;1;19;0;2;82;3_4'_5_7-Tetrahydroxy-3'_6-dimethoxyflavone_3-O-[4-Hydroxy-3-methoxycinnamoyl-(Šæê2)-Ô_-D-glucopyranosyl-(1Šæê6)-Ô_-D-glucopyranoside];5;2;3;2;-1;290;290;C42H42O19;2;none;OCC1OC(C(O)C(O)C1O)C2(O)C3=C(C(=O)C4=C2C=C(CO)C=C4O)C(O)=C(C=C3)C6(C5OC(CO)C(O)C(O)C5O)C7=CC=CC(O)=C7C(=O)C8=C6C=C(CO)C=C8O;C39H42O21;[H]OC1=C([H])C2=C(C(=O)C(OC3([H])OC([H])(C([H])([H])OC4([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C4([H])OC(=O)C([H])=C([H])C4=C([H])C(OC([H])([H])[H])=C(O[H])C([H])=C4[H])C([H])(O[H])C([H])(O[H])C3([H])O[H])=C(O2)C2=C([H])C(OC([H])([H])[H])=C(O[H])C([H])=C2[H])C(O[H])=C1OC([H])([H])[H]
NCGC00380482-01_C15H22O6_Methyl_2-(1_3_5-trihydroxy-4a-methyl-8-oxodecahydro-2-naphthalenyl)acrylate_M+H;298.142;2;5;0;6;46;4-(1_2_3-Trihydroxypropyl)-2(5H)-furanone_3'-Octanoyl;5;13;1;172;0;566;1500;C15H22O6;12;none;COC(=O)C(=C)C1C(O)CC2(C)C(O)CCC(=O)C2C1O;C15H24O6;[H]OC([H])(C([H])=O)C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C1([H])C([H])([H])OC(=O)C1([H])[H]
NCGC00380469-01![2-(2-acetyloxypropan-2-yl)-7-oxo-2_3-dihydrofuro[3_2-g]chromen-3-yl]_2-methylpropanoate_M+H;374.137;3;8;0;10;31;NCGC00380469-01![2-(2-acetyloxypropan-2-yl)-7-oxo-2_3-dihydrofuro[3_2-g]chromen-3-yl]_2-methylpropanoate_M+H;5;1;3;1;1;20;1610;C20H22O7;28;Benzopyranoids;CC(C)C(=O)OC1C(OC2=C1C=C3C=CC(=O)OC3=C2)C(C)(C)OC(C)=O;C20H22O7;[H]C1=C([H])C2=C([H])C3=C(OC([H])(C3([H])OC(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C(OC(=O)C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2OC1=O
NCGC00380440-01!2-[[(E)-3-[2-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-7-methoxy-2_3-dihydro-1-benzofuran-5-yl]prop-2-enoyl]amino]pentanedioic_acid_M+H;501.163;2;10;2;10;48;NCGC00380440-01!2-[[(E)-3-[2-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-7-methoxy-2_3-dihydro-1-benzofuran-5-yl]prop-2-enoyl]amino]pentanedioic_acid_M+H;5;1;1;102;1;16;1200;C25H27NO10;3;none;COC1=CC(\C=C\C(=O)NC(CCC(O)=O)C(O)=O)=CC2=C1OC(C2CO)C3=CC(OC)=C(O)C=C3;C25H27NO10;[H]OC(=O)C([H])([H])C([H])([H])C([H])(N([H])C(=O)C([H])=C([H])C1=C([H])C2=C(OC([H])(C3=C([H])C(OC([H])([H])[H])=C(O[H])C([H])=C3[H])C2([H])C([H])([H])O[H])C(OC([H])([H])[H])=C1[H])C(=O)O[H]
NCGC00380364-01!_M+H;766.45;1;16;0;10;81;Petrosolic_acid_Petrosolic_acid;5;5;1;49;-1;490;490;C41H66O13;14;Terpenoids;CC(CCC(O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C3CC[C@@]4(C)C5[C@@H](O)CC6[C@]7(C[C@@]57CC[C@]34C)C(=O)C=CC6(C)C;C44H64O11;[H]OC(=O)C#CC([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])(O[H])C#CC([H])(O[H])C#CC([H])(O[H])C([H])([H])C([H])=C([H])C([H])([H])C([H])(O[H])C([H])=C([H])C([H])(O[H])C#C[H]
NCGC00380322-01!2-[3_21-dihydroxy-20-[3_4_5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxydocosan-2-yl]oxy-6-(hydroxymethyl)oxane-3_4_5-triol_M+H;698.445;1;18;0;6;61;2-Amino-4_8-octadecadiene-1_3-diol_N-(2R-Hydroxypentadecanoyl)__1-O-Ô_-D-glucopyranoside;5;13;1;39;-1;655;655;C34H66O14;1;none;CC(O)C(CCCCCCCCCCCCCCCCC(O)C(C)OC1OC(CO)C(O)C(O)C1O)OC2OC(CO)C(O)C(O)C2O;C39H73NO9;[H]OC([H])([H])C1([H])OC([H])(OC([H])([H])C([H])(N([H])C(=O)C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(O[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(O[H])C([H])(O[H])C1([H])O[H]
NCGC00380307-01_C17H23NO7_5_8-Epoxy-5H-[1_5]dioxecino[3_2-b]pyrrole-3_6_7-triol__decahydro-11-(4-methoxyphenyl)-__(3S_3aS_5R_6R_7R_8R_11R_11aR)-_M+H;353.147;1;11;2;14;142;NCGC00380307-01_C17H23NO7_5_8-Epoxy-5H-[1_5]dioxecino[3_2-b]pyrrole-3_6_7-triol__decahydro-11-(4-methoxyphenyl)-__(3S_3aS_5R_6R_7R_8R_11R_11aR)-_M+H;5;1;1;210;-1;1680;1680;C17H23NO7;4;none;COC1=CC=C(C=C1)[C@H]2OC[C@H]3O[C@@H](O[C@@H]4[C@@H](O)CN[C@H]24)[C@H](O)[C@H]3O;C17H23NO7;[H]O[C@@]1([H])C([H])([H])N([H])[C@@]2([H])[C@]1([H])O[C@]1([H])O[C@]([H])(C([H])([H])O[C@]2([H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])[C@]([H])(O[H])[C@@]1([H])O[H]
NCGC00380287-01_C28H33NO7_(1E_4S_6R_7E_11aS_14S_14aS_15S_15aR_16aS_16bS)-14-Benzyl-6-hydroxy-4_6_15_15a-tetramethyl-3_13_14_14a_15_15a_16a_16b-octahydro[1_3]dioxacyclotridecino[4_5-d]oxireno[f]isoindole-5_10_12(4H_6H)-trione_M+H;495.226;2;7;2;10;71;Tyropeptin_B_Tyropeptin_B;5;4;1;106;0;690;1274;C28H33NO7;4;none;C[C@H]1C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]4[C@H](CC5=CC=CC=C5)NC(=O)[C@@]24OC(=O)O/C=C/[C@@](C)(O)C1=O;C27H35N3O6;[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=O
NCGC00380223-01_C20H24N2O5_3-Pyridinecarboxylic_acid__1_4-dihydro-6-(hydroxyphenylmethyl)-1-[2-[(3-methyl-1-oxobutyl)amino]ethyl]-4-oxo-_M+H;372.169;2;2;5;10;95;NCGC00380223-01_C20H24N2O5_3-Pyridinecarboxylic_acid__1_4-dihydro-6-(hydroxyphenylmethyl)-1-[2-[(3-methyl-1-oxobutyl)amino]ethyl]-4-oxo-_M+H;5;1;2;9;1;52;1666;C20H24N2O5;9;none;CC(C)CC(=O)NCCN1\C=C(C(O)=O)/C(=O)/C=C1/C(O)C2=CC=CC=C2;C20H24N2O5;[H]OC(=O)C1=C([H])N(C(=C([H])C1=O)C([H])(O[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
NCGC00380162-01_C16H28O12_alpha-D-Glucopyranoside__alpha-D-glucopyranosyl__3-(2-methylpropanoate)_M+H;412.158;2;15;0;10;38;NCGC00380162-01_C16H28O12_alpha-D-Glucopyranoside__alpha-D-glucopyranosyl__3-(2-methylpropanoate)_M+H;5;1;2;11;1;28;1494;C16H28O12;3;Aliphatic_natural_products;CC(C)C(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O;C16H28O12;[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(OC(=O)C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
NCGC00380157-01_C23H28O6_6-(Hydroxymethyl)-4-methoxy-6_9a-dimethyl-3-oxo-1_3_4_5_5a_6_7_8_9_9a-decahydronaphtho[1_2-c]furan-5-yl_benzoate_M+H;400.189;2;7;0;10;45;Myriocin_Myriocin;5;7;2;25;1;38;1658;C23H28O6;18;none;COC\1C(OC(=O)C2=CC=CC=C2)C3C(C)(CO)CCCC3(C)\C4=C1C(=O)OC4;C21H39NO6;[H]OC(=O)C(N([H])[H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
NCGC00380140-01!2-[2-[5-[4-[4_5-dihydroxy-6-methyl-3-(3_4_5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxy-1_2_4a_5-tetramethyl-2_3_4_7_8_8a-hexahydronaphthalen-1-yl]-3-methylpent-1-en-3-yl]oxy-5-hydroxy-6-methyl-3-(3_4_5-trihydroxy-6-methyloxan-2-yl)oxyoxan-4-yl]oxy-6-methyloxane-3_4_5-triol_M+H;1036.55;1;32;0;14;68;NCGC00380140-01!2-[2-[5-[4-[4_5-dihydroxy-6-methyl-3-(3_4_5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxy-1_2_4a_5-tetramethyl-2_3_4_7_8_8a-hexahydronaphthalen-1-yl]-3-methylpent-1-en-3-yl]oxy-5-hydroxy-6-methyl-3-(3_4_5-trihydroxy-6-methyloxan-2-yl)oxyoxan-4-yl]oxy-6-methyloxane-3_4_5-triol_M+H;5;1;3;2;-1;169;169;C50H84O22;4;none;CC1OC(OC2C(O)C(O)C(C)OC2OC3CC(C)C(C)(CCC(C)(OC4OC(C)C(O)C(OC5OC(C)C(O)C(O)C5O)C4OC6OC(C)C(O)C(O)C6O)C=C)C7CCC=C(C)C37C)C(O)C(O)C1O;C50H84O22;[H]OC1([H])C([H])(OC2([H])C([H])(OC3([H])C([H])([H])C([H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C(OC4([H])OC([H])(C([H])([H])[H])C([H])(O[H])C([H])(OC5([H])OC([H])(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C5([H])O[H])C4([H])OC4([H])OC([H])(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C4([H])O[H])(C([H])=C([H])[H])C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C34C([H])([H])[H])OC([H])(C([H])([H])[H])C([H])(O[H])C2([H])O[H])OC([H])(C([H])([H])[H])C([H])(O[H])C1([H])O[H]
NCGC00380134-01_C25H30O8_3-Furancarboxylic_acid__(3R_5S_5aS_6S_9aR)-octahydro-9-hydroxy-2_2_5a_9-tetramethyl-2H-3_9a-methano-1-benzoxepin-5_6-diyl_ester_M+H;458.194;3;11;0;6;39;Botcinic_acid_3-Ac__Me_ester;5;2;2;8;1;8;1359;C25H30O8;17;none;CC1(C)O[C@]23C[C@H]1C[C@H](OC(=O)C4=COC=C4)[C@]2(C)[C@H](CCC3(C)O)OC(=O)C5=COC=C5;C23H38O9;[H]OC([H])(C([H])=C([H])C(=O)OC1([H])C([H])(OC(C([H])([H])[H])(C([H])(OC(=O)C([H])([H])[H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])(O[H])C1([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
NCGC00380124-01_C38H63NO10_Hexopyranoside__1-[6-[dodecahydro-5-hydroxy-3-(1-hydroxy-1-methylethyl)-6a_9b-dimethylindeno[5_4-b]pyran-7-yl]-3_4_4a_7_8_8a-hexahydro-4a-methyl-2H-1-benzopyran-2-yl]-1-methylethyl_2-(acetylamino)-2-deoxy-_M+H;693.445;2;13;2;10;134;Murolic_acid_O-[Ô_-D-Glucopyranosyl-(1Šæê3)-Ô_-D-glucopyranoside];5;3;2;8;0;430;636;C38H63NO10;3;Terpenoids;CC(=O)NC1C(O)C(O)C(CO)OC1OC(C)(C)C2CCC3(C)/C=C(CCC3O2)/C4CCC5C4(C)CC(O)C6OC(CCC56C)C(C)(C)O;C33H56O15;[H]OC(=O)C1([H])C(=C([H])[H])C(=O)OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(OC1([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(OC2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C2([H])O[H])C1([H])O[H])C([H])([H])[H]
NCGC00380118-01!_M+H;642.34;4;12;0;10;55;Trichoverritone_Trichoverritone;5;2;1;113;1;28;767;C36H50O10;5;none;CC(C)C(=O)OC1CC2C3(C)C(CC(OC(=O)C(C)C)C2(C)C45OC4CC(C6=COC=C6)C15C)C(C)(C)OC(=O)CC3OC(C)=O;C35H46O11;[H]OC([H])([H])C([H])([H])C(=C([H])C(=O)OC([H])([H])C12C([H])([H])C([H])([H])C(=C([H])C1([H])OC1([H])C([H])([H])C([H])(OC(=O)C([H])=C([H])C([H])=C([H])C([H])(OC([H])([H])C([H])([H])C3=C([H])C(=O)OC3([H])[H])C([H])(O[H])C([H])([H])[H])C2(C([H])([H])[H])C11OC1([H])[H])C([H])([H])[H])C([H])([H])[H]
NCGC00380104-01![5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4-oxo-3-[(2S_3R_4R_5R_6S)-3_4_5-trihydroxy-6-methyloxan-2-yl]oxychromen-8-yl]_acetate_M+H;504.127;2;15;0;14;39;Antibiotic_PA_32413-I_Antibiotic_PA_32413-I;5;1;2;14;0;744;1276;C24H24O12;11;none;COC1=CC(O)=C2C(=O)C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)=C(OC2=C1OC(C)=O)C4=CC=C(O)C=C4;C18H25N5O10S;[H]OC(=N[H])OC([H])([H])C1=C(N2C(=O)C(OC([H])([H])[H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])(N([H])C([H])([H])C(O[H])=N[H])C(=O)O[H])C2([H])SC1([H])[H])C(=O)O[H]
NCGC00380090-01![(2R_3R_4R_5R_6S)-4_5-dihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-7-[(2R_3R_4R_5R_6S)-3_4_5-trihydroxy-6-methyloxan-2-yl]oxychromen-3-yl]oxy-2-[[(2R_3R_4R_5R_6S)-3_4_5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl]_(E)-3-(4-hydroxyphenyl)prop-2-enoate_M+H;886.253;2;27;0;14;69;NCGC00380090-01![(2R_3R_4R_5R_6S)-4_5-dihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-7-[(2R_3R_4R_5R_6S)-3_4_5-trihydroxy-6-methyloxan-2-yl]oxychromen-3-yl]oxy-2-[[(2R_3R_4R_5R_6S)-3_4_5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl]_(E)-3-(4-hydroxyphenyl)prop-2-enoate_M+H;5;1;4;3;1;16;321;C42H46O21;3;none;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)=CC(O)=C4C3=O)C6=CC=C(O)C=C6)[C@H](O)[C@@H](O)[C@H]2OC(=O)\C=C\C7=CC=C(O)C=C7)[C@H](O)[C@H](O)[C@H]1O;C42H46O21;[H]OC1=C([H])C([H])=C(C([H])=C([H])C(=O)O[C@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(OC3=C(OC4=C([H])C(O[C@]5([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]5([H])O[H])=C([H])C(O[H])=C4C3=O)C3=C([H])C([H])=C(O[H])C([H])=C3[H])O[C@]2([H])C([H])([H])O[C@]2([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]2([H])O[H])C([H])=C1[H]
NCGC00380082-01_C23H30O6_2-Formyl-1-hydroxy-5_5_8a-trimethyl-4-[(2E_4E_6E)-2_4_6-octatrienoyloxy]-1_4_4a_5_6_7_8_8a-octahydro-1-naphthalenecarboxylic_acid_M+H;402.204;2;4;0;6;35;Glycerol_1-alkanoates_2-Ac;5;1;2;27;1;12;1655;C23H30O6;27;none;C/C=C/C=C/C=C/C(=O)OC1\C=C(C=O)/C(O)(C(O)=O)C2(C)CCCC(C)(C)C12;C23H42O5;[H]OC([H])([H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
NCGC00347824-02!6-[(2E_6E)-4_5-dihydroxy-4_6-dimethyl-7-(1_2_4-trimethyl-3_6-dioxabicyclo[3.1.0]hexan-4-yl)hepta-2_6-dien-2-yl]-4-methoxy-5-methylpyran-2-one_M+H;420.215;1;10;0;6;73;Myxopyronines_Myxopyronine_A;5;4;2;36;-1;1548;1548;C23H32O7;14;Lignans;COC1=CC(=O)OC(\C(C)=C\C(C)(O)C(O)C(\C)=C\C2(C)OC(C)C3(C)OC23)=C1C;C23H31NO6;[H]OC1=C(C(=O)C(=C([H])C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C(=O)OC(=C1[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])=C([H])N([H])C(=O)OC([H])([H])[H]
NCGC00347810-02![5-formyl-4_8-dihydroxy-3-(3-methoxy-3-oxoprop-1-en-2-yl)-8a-methyl-2_3_4_4a_5_6_7_8-octahydro-1H-naphthalen-2-yl]_3_4-dihydroxy-2-methylidenebutanoate_M+H;426.189;3;8;0;10;31;Glycerol_1-alkanoates_3-Ac;5;7;1;79;0;786;1505;C21H30O9;5;none;COC(=O)C(=C)C1C(O)C2C(CCC(O)C2(C)CC1OC(=O)C(=C)C(O)CO)C=O;C21H38O7;[H]OC([H])(C([H])([H])OC(=O)C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
NCGC00347791-02!2-[5-[[4-acetyloxy-5-(2_4-dioxopyrimidin-1-yl)-3-(4-hydroxy-2-methoxy-6-methylbenzoyl)oxyoxolan-2-yl]methoxycarbonyl]-2-hydroxyphenoxy]prop-2-enoic_acid_M+H;656.149;6;15;5;36;55;NCGC00347791-02!2-[5-[[4-acetyloxy-5-(2_4-dioxopyrimidin-1-yl)-3-(4-hydroxy-2-methoxy-6-methylbenzoyl)oxyoxolan-2-yl]methoxycarbonyl]-2-hydroxyphenoxy]prop-2-enoic_acid_M+H;5;1;3;1;2;1;781;C30H28N2O15;1;none;COC1=CC(O)=CC(C)=C1C(=O)OC2C(COC(=O)C3=CC=C(O)C(OC(=C)C(O)=O)=C3)OC(C2OC(C)=O)N4C=CC(=O)NC4=O;C30H28N2O15;[H]OC(=O)C(OC1=C([H])C(=C([H])C([H])=C1O[H])C(=O)OC([H])([H])C1([H])OC([H])(N2C([H])=C([H])C(=O)N([H])C2=O)C([H])(OC(=O)C([H])([H])[H])C1([H])OC(=O)C1=C(C([H])=C(O[H])C([H])=C1OC([H])([H])[H])C([H])([H])[H])=C([H])[H]
NCGC00347753-02_C19H18N4O7_9H-Purin-6-ol__9-[1-(3-carboxyphenyl)-2_3-dideoxyheptodialdo-7_4-furanosyl]-_M+H;414.118;1;6;6;10;77;3_3'_4_4'_7'-Pentahydroxylignan-9_9'-olide_3_4:3'_4'-Bis(methylene)_ether__Ac;5;2;2;7;-1;1514;1514;C19H18N4O7;2;none;OC1C(O)C(OC1CCC(=O)C2=CC=CC(=C2)C(O)=O)[N]3C=NC4=C(O)N=CN=C34;C22H20O8;[H]C1=C([H])C(=C([H])C2=C1OC([H])([H])O2)C([H])([H])C1([H])C(=O)OC([H])([H])C1([H])C([H])(OC(=O)C([H])([H])[H])C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H]
NCGC00347635-02![5-acetyloxy-3-(hydroxymethyl)-2-oxo-6-propan-2-ylcyclohex-3-en-1-yl]_3-methylpentanoate_M+H;340.189;3;5;0;10;26;4_7-Dihydroxy-8_4'-oxyneolign-8'-ene_4-Me_ether__7-Ac;5;2;1;212;0;665;1666;C18H28O6;7;none;CCC(C)CC(=O)OC1C(C(C)C)C(OC(C)=O)C=C(CO)C1=O;C21H24O4;[H]C([H])=C([H])C([H])([H])C1=C([H])C([H])=C(OC([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])=C1[H]
NCGC00347618-02!3-hydroxy-N-(1-hydroxy-4-methylpentan-2-yl)-5-oxo-6-phenylhexanamide_M+H;321.194;2;2;2;6;58;NCGC00347618-02!3-hydroxy-N-(1-hydroxy-4-methylpentan-2-yl)-5-oxo-6-phenylhexanamide_M+H;5;1;2;12;1;29;1520;C18H27NO4;13;none;CC(C)CC(CO)NC(=O)CC(O)CC(=O)CC1=CC=CC=C1;C18H27NO4;[H]OC([H])([H])C([H])(N([H])C(=O)C([H])([H])C([H])(O[H])C([H])([H])C(=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
NCGC00347615-02!methyl_3_5-dichloro-2-hydroxy-6-(4-hydroxy-2-methoxy-6-methoxycarbonylphenoxy)-4-methylbenzoate_M+H;430.022;3;10;0;10;42;NCGC00347615-02!methyl_3_5-dichloro-2-hydroxy-6-(4-hydroxy-2-methoxy-6-methoxycarbonylphenoxy)-4-methylbenzoate_M+H;5;1;1;9;1;5;1469;C18Cl2H16O8;2;Simple_Aromatic_Natural_Products;COC(=O)C1=CC(O)=CC(OC)=C1OC2=C(Cl)C(C)=C(Cl)C(O)=C2C(=O)OC;C18Cl2H16O8;[H]OC1=C([H])C(OC([H])([H])[H])=C(OC2=C(Cl)C(=C(Cl)C(O[H])=C2C(=O)OC([H])([H])[H])C([H])([H])[H])C(=C1[H])C(=O)OC([H])([H])[H]
NCGC00347603-02!2_4-dihydroxy-6-methyl-3-[(2E_6E)-3_7_11-trimethyldodeca-2_6_10-trienyl]benzaldehyde_M+H;356.235;1;2;0;2;39;1_9-Heptadecadiene-4_6-diyn-3-ol_9R_10S-Epoxide__succinoyl;5;8;2;56;-1;1686;1686;C23H32O3;8;Simple_Aromatic_Natural_Products;CC(C)=CCC\C(C)=C\CC\C(C)=C\CC1=C(O)C=C(C)C(C=O)=C1O;C21H28O5;[H]OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])(C#CC#CC([H])([H])C1([H])OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])=C([H])[H]
NCGC00347591-02_C50H64O14__M+H;888.43;2;16;0;14;139;Nostophycin_Nostophycin;5;1;3;3;1;5;297;C50H64O14;2;none;COC1=CC(=C(C(=O)OC2C(C)OC(OC3CCC(C)C4C3\C=C(\C)C5\C(=C\CC\C(=C\C6(C)\C=C(/C(C)CC6\7OC(=O)\C(=C7O)C(=O)C45C)C(O)=O)C)C)C(O)C2O)C(=C1)OC)C;C46H64N8O10;[H]OC(=N[H])C([H])([H])C([H])([H])C1([H])N([H])C(=O)C([H])(O[H])C([H])(N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C3([H])N(C(=O)C([H])([H])N([H])C1=O)C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]
